,accuracy,batch_run,dataset,f1,f1_mean,f1_std,logloss,model,n_total_train,seed_initialization_run,selector,test_base_rate,test_positives,test_size,train_base_rate,train_fraction,train_positives,train_size
49,0.947,0,skewed_sklearn_10_to_1,0.7336683417085427,0.7336683417085427,,0.15579833071140967,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.125,0.512,64.0,512.0
0,0.828,1,skewed_sklearn_10_to_1,0.47239263803680986,0.47239263803680986,,0.38501919639470494,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.36363636363636365,0.022,8.0,22.0
1,0.853,1,skewed_sklearn_10_to_1,0.4982935153583617,0.4982935153583617,,0.35394937406970134,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.28125,0.032,9.0,32.0
2,0.883,1,skewed_sklearn_10_to_1,0.5375494071146245,0.5375494071146245,,0.28775570556047336,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.21428571428571427,0.042,9.0,42.0
3,0.915,1,skewed_sklearn_10_to_1,0.6046511627906976,0.6046511627906976,,0.2235939664630036,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.17307692307692307,0.052,9.0,52.0
4,0.914,1,skewed_sklearn_10_to_1,0.5742574257425743,0.5742574257425743,,0.2115178807363626,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.14516129032258066,0.062,9.0,62.0
5,0.915,1,skewed_sklearn_10_to_1,0.5771144278606966,0.5771144278606966,,0.21133821274016765,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.125,0.072,9.0,72.0
6,0.921,1,skewed_sklearn_10_to_1,0.6030150753768844,0.6030150753768844,,0.20886303881372167,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.12195121951219512,0.082,10.0,82.0
7,0.925,1,skewed_sklearn_10_to_1,0.6341463414634146,0.6341463414634146,,0.19488999169137708,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11956521739130435,0.092,11.0,92.0
8,0.919,1,skewed_sklearn_10_to_1,0.6124401913875599,0.6124401913875599,,0.20694786245360555,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11764705882352941,0.102,12.0,102.0
9,0.919,1,skewed_sklearn_10_to_1,0.5846153846153846,0.5846153846153846,,0.2069841782268284,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10714285714285714,0.112,12.0,112.0
10,0.928,1,skewed_sklearn_10_to_1,0.6170212765957447,0.6170212765957447,,0.19204017490140668,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11475409836065574,0.122,14.0,122.0
11,0.928,1,skewed_sklearn_10_to_1,0.6170212765957447,0.6170212765957447,,0.19190762460182478,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11363636363636363,0.132,15.0,132.0
12,0.927,1,skewed_sklearn_10_to_1,0.6137566137566138,0.6137566137566138,,0.1912020509218246,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11267605633802817,0.142,16.0,142.0
13,0.942,1,skewed_sklearn_10_to_1,0.6881720430107527,0.6881720430107527,,0.16868120594812244,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.125,0.152,19.0,152.0
14,0.94,1,skewed_sklearn_10_to_1,0.6739130434782609,0.6739130434782609,,0.16588518377230815,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11728395061728394,0.162,19.0,162.0
15,0.94,1,skewed_sklearn_10_to_1,0.6739130434782609,0.6739130434782609,,0.16664596156111064,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.12790697674418605,0.172,22.0,172.0
16,0.939,1,skewed_sklearn_10_to_1,0.6629834254143646,0.6629834254143646,,0.16753468922383588,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.12087912087912088,0.182,22.0,182.0
17,0.942,1,skewed_sklearn_10_to_1,0.6813186813186813,0.6813186813186813,,0.1657863792217285,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11979166666666667,0.192,23.0,192.0
18,0.943,1,skewed_sklearn_10_to_1,0.6850828729281767,0.6850828729281767,,0.16241554901020133,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11386138613861387,0.202,23.0,202.0
19,0.942,1,skewed_sklearn_10_to_1,0.6813186813186813,0.6813186813186813,,0.16267042970030113,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10849056603773585,0.212,23.0,212.0
20,0.944,1,skewed_sklearn_10_to_1,0.6888888888888889,0.6888888888888889,,0.16294735753767126,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1036036036036036,0.222,23.0,222.0
21,0.945,1,skewed_sklearn_10_to_1,0.6994535519125684,0.6994535519125684,,0.16130001136694272,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11637931034482758,0.232,27.0,232.0
22,0.941,1,skewed_sklearn_10_to_1,0.694300518134715,0.694300518134715,,0.16387292280127796,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11570247933884298,0.242,28.0,242.0
23,0.942,1,skewed_sklearn_10_to_1,0.6979166666666667,0.6979166666666667,,0.16346022624230466,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11507936507936507,0.252,29.0,252.0
24,0.945,1,skewed_sklearn_10_to_1,0.717948717948718,0.717948717948718,,0.16333880723752375,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1183206106870229,0.262,31.0,262.0
25,0.945,1,skewed_sklearn_10_to_1,0.717948717948718,0.717948717948718,,0.16322043222980867,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11764705882352941,0.272,32.0,272.0
26,0.942,1,skewed_sklearn_10_to_1,0.6914893617021277,0.6914893617021277,,0.16162146628366345,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11347517730496454,0.282,32.0,282.0
27,0.943,1,skewed_sklearn_10_to_1,0.6984126984126985,0.6984126984126985,,0.16149976408210426,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11301369863013698,0.292,33.0,292.0
28,0.937,1,skewed_sklearn_10_to_1,0.6557377049180327,0.6557377049180327,,0.16557746419323535,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11258278145695365,0.302,34.0,302.0
29,0.94,1,skewed_sklearn_10_to_1,0.6774193548387097,0.6774193548387097,,0.1642184761548046,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11217948717948718,0.312,35.0,312.0
30,0.941,1,skewed_sklearn_10_to_1,0.6810810810810811,0.6810810810810811,,0.1628665428350963,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11180124223602485,0.322,36.0,322.0
31,0.939,1,skewed_sklearn_10_to_1,0.6702702702702702,0.6702702702702702,,0.1616825563475267,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11144578313253012,0.332,37.0,332.0
32,0.944,1,skewed_sklearn_10_to_1,0.7021276595744681,0.7021276595744681,,0.16190090110558134,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11403508771929824,0.342,39.0,342.0
33,0.939,1,skewed_sklearn_10_to_1,0.6737967914438502,0.6737967914438502,,0.1604167427645339,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11363636363636363,0.352,40.0,352.0
34,0.939,1,skewed_sklearn_10_to_1,0.6737967914438502,0.6737967914438502,,0.16003034951233536,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.11049723756906077,0.362,40.0,362.0
